	Estimate	Std. Error	z value	Pr(>|z|)
pos_seq269	-0.386558470728578	8.40092381813147	-0.0460138050406172	0.963299246733255
pos_seq270	0.737127455491436	8.40929650256127	0.0876562570087669	0.930149887586642
pos_seq271	-2.40270516203678	8.43286775092013	-0.284921480213492	0.7757042989355
pos_seq272	-0.985639142249787	8.41413347587117	-0.117140896929703	0.906748401745557
pos_seq273	-0.697957069797919	8.41166237716419	-0.0829749267746075	0.933871476384795
pos_seq274	-1.20878269356438	8.42623138429427	-0.143454723521769	0.885931066724998
pos_seq275	-1.27777556505026	8.40270526787744	-0.152067164599364	0.879133961830124
pos_seq276	-1.46009712184533	8.41099152510506	-0.173593935683711	0.862184598283246
pos_seq277	-1.10342217790716	8.42688927554601	-0.130940628484247	0.895822274470059
pos_seq278	-0.857587215389744	8.40379084418252	-0.102047662928618	0.918718842977832
pos_seq279	-1.48071640904777	8.40964966043177	-0.176073495191445	0.860236203371321
pos_seq280	0.688337291321971	8.40943776749001	0.0818529502629783	0.934763649079808
pos_seq281	-1.32114566175129	8.40256881394736	-0.157231162398614	0.875062669691944
pos_seq282	-0.469115497369124	8.40141272631523	-0.0558376921419112	0.955471107782437
pos_seq283	-0.26717415370554	8.41103498272787	-0.0317647179276016	0.974659683444137
pos_seq284	-0.422853779553158	8.40178011076892	-0.050329070027811	0.959860158585508
pos_seq285	-0.697957069798646	8.48915645534038	-0.0822174822045568	0.934473771721156
pos_seq286	-1.00498210509316	8.40307179175667	-0.119596991433423	0.904802403106691
pos_seq287	-1.03173024944957	8.40205524339231	-0.122794985222332	0.902269445420356
pos_seq288	-0.0928432387231959	8.40123145915202	-0.0110511463914086	0.991182640389664
pos_seq289	0.668134584004705	8.40412053368767	0.0795008331123414	0.936634268984281
pos_seq290	-0.697957069797919	8.4021241886207	-0.0830691208710278	0.933796578936057
pos_seq291	-0.559120624943617	8.40399618403366	-0.0665303282747632	0.946955612720115
pos_seq292	0.218333662075103	8.42721820191171	0.025908153419544	0.979330596742404
pos_seq293	0.155963331349748	8.40181202031442	0.0185630588940398	0.985189672486828
pos_seq294	0.506015734527943	8.4050574507007	0.0602037210924427	0.951993382089648
pos_seq295	0.481780763682498	8.400871121148	0.0573489054569214	0.954267263506233
pos_seq296	-0.921100621112199	8.4420066238453	-0.109109203789352	0.913115874907358
pos_seq297	-0.00480988923848818	8.42425740226915	-0.000570957059929412	0.999544442201752
pos_seq298	-0.379503338679189	8.40964002904759	-0.0451271799230827	0.964005937040341
pos_seq299	-0.90767760078023	8.40609640709076	-0.107978490469676	0.914012754554337
pos_seq300	0.157709040260046	8.40699438076298	0.0187592655730707	0.985033149463235
pos_seq301	0.439684562775875	8.40126082259226	0.0523355448736333	0.958261331399919
pos_seq302	1.09380239942982	8.42688927554042	0.129799071005317	0.896725397927865
pos_seq303	0.506015734528121	8.43215055768182	0.0600102822010375	0.952147445438788
pos_seq304	-1.4920801676981	8.40235363933562	-0.177578834662817	0.859053747828533
pos_seq305	-14.5708776778517	266.007125590508	-0.0547762682879487	0.956316707172901
pos_seq306	-2.08425143091839	8.42277661215788	-0.247454197931579	0.80455673413202
pos_seq307	0.688337291321555	8.48915645533665	0.0810842979444485	0.935374912991695
pos_seq308	-0.981132600147564	8.40082755794787	-0.116789994007118	0.907026473112387
pos_seq309	-14.5708777078676	509.180110875658	-0.0286163528320254	0.977170569751541
pos_seq310	-0.470173138927466	8.4041136877914	-0.0559455947877625	0.955385148295575
pos_seq311	-0.410274997346024	8.44988319947139	-0.0485539252627409	0.961274788939333
pos_seq312	-1.61424780167148	8.43609436595014	-0.191350135696315	0.848251284084615
pos_seq313	-1.48071640904748	8.40964966043263	-0.176073495191393	0.860236203371362
pos_seq314	-1.53952425547672	8.4034207021699	-0.183202092343085	0.854639452700524
pos_seq315	-0.316246047697555	8.40251192083561	-0.0376370840859343	0.969977040032627
pos_seq316	-0.317682210518248	8.40263176361282	-0.037807465500744	0.969841192020683
pos_seq317	-1.83739135298582	8.40914110839827	-0.218499288964339	0.827040112260059
pos_seq318	-0.904751483110311	8.40279104590532	-0.107672733758052	0.914255299051709
pos_seq319	-1.39110425035807	8.47445031307729	-0.164152741353783	0.869610903286025
pos_seq320	-0.596174375487758	8.40350943607922	-0.0709435004532953	0.943442722217073
pos_seq321	-0.75511548363763	8.40567543252065	-0.0898340043818692	0.928419125836386
pos_seq322	0.0993938882920864	8.40118607020581	0.0118309352347973	0.990560499646239
pos_seq323	-14.5708777942672	881.845814463231	-0.0165231580796654	0.986817027132939
pos_seq324	-14.570877796025	881.845814590422	-0.0165231580792755	0.98681702713325
pos_seq325	-14.5708777299011	623.587440713021	-0.0233662142284977	0.981358154783777
pos_seq326	-0.00480988923782487	8.51849257511521	-0.000564640891027579	0.99954948177459
pos_seq327	-14.5708777945639	881.845814488165	-0.0165231580795347	0.986817027133044
pos_seq328	-0.0870479874747542	8.40379275810855	-0.0103581787390895	0.991735516891612
pos_seq329	-0.410274997345675	8.44988319947056	-0.0485539252627044	0.961274788939362
pos_seq330	-0.00480988923829514	8.4597186060967	-0.000568563738612863	0.99954635179557
pos_seq331	-0.158960569064955	8.41889711797939	-0.0188814005964604	0.984935717070845
pos_seq332	-0.306394866858487	8.40135998801549	-0.036469674825928	0.970907858600091
pos_seq333	-0.174708926033244	8.40104039945996	-0.0207961059256987	0.983408304089654
pos_seq334	-0.000793819582996483	8.40077196395697	-0.0000944936472984055	0.999924604977839
pos_seq335	1.55333472880876	8.40652276824303	0.184777317760529	0.853403699298868
pos_seq336	-1.13694486994448	8.40142587736776	-0.135327608258409	0.892352857621372
pos_seq337	-0.0742822620527245	8.40094638131989	-0.00884213024117098	0.992945092725365
pos_seq338	1.03664398559037	8.40722711485584	0.123303911197853	0.901866443781671
